	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9
17962|TMEM220	1.45777	0.702549	0	0.198998	0.0788682	0.0975567	1.18457	2.84096	1.27797	0.0868953	0.0402662	1.03084	0.800657	0	0.0592175	0.0566895	0.0139115	0.750593	2.68571	1.52327	0.0503415	0.0116542
4686|HEY1	28.5875	12.0855	47.5579	35.2336	36.2061	4.9484	14.9642	4.11506	8.65823	1.15295	1.59104	26.788	11.5588	5.67297	45.2546	39.3324	6.31776	20.7405	5.62094	10.9872	1.00178	1.8045
11459|PROSC	15.3794	12.9159	0	38.473	32.9025	20.1052	27.7739	26.1517	28.8769	26.3202	62.4181	27.9335	25.25	3.90069	42.5555	37.8037	27.6776	33.3081	31.3205	34.9951	30.1046	79.4939
18976|TCEAL9	281.55	233.487	0	121.95	461.169	360.08	295.332	223.957	1008.83	10.055	49.1507	71.7481	145.61	0	170.778	143.223	115.362	71.3612	293.468	321.683	20.7204	42.6496
491|WIPF1	110.441	298.135	178.819	83.9884	113.766	42.2949	118.19	56.488	129.26	953.433	243.132	122.958	322.182	59.229	84.0259	129.415	49.2463	129.786	68.4871	128.328	894.226	254.988
73|CARM1	11.5141	7.49141	4.26851	18.5207	40.0066	23.3673	23.8666	5.45852	22.5426	17.6488	57.7369	22.8392	17.2355	0.612315	29.2759	75.5027	42.9096	43.3537	8.71865	37.9036	29.5726	94.3548
701|CD79A	15.7178	161.897	0	0.219043	2.78414	0.351649	9.0527	0.769991	19.1224	115.225	205.925	38.8793	410.275	135.058	0.50937	5.34822	0.704198	26.0764	2.00394	33.686	226.207	358.302
5622|MYOM3	16.1964	0.0686134	0	0.136768	0.968465	0.04196	10.1788	0.163527	8.37936	0	0	20.893	0.107675	0	0.211238	1.25811	0.0842762	13.5856	0.299541	11.8894	0.0383474	0
12833|ALKBH4	3.10672	1.8077	0	2.69428	3.125	2.33465	2.48208	0.856966	1.26057	1.0791	2.45608	5.07338	4.08175	38.7732	5.58516	4.36688	3.50817	4.94451	1.77029	1.99383	2.24667	3.62111
5332|MAST4	6.17164	1.98058	0	20.3964	3.011	10.7645	48.1004	14.976	23.4205	1.5635	9.44231	5.79296	2.16775	0	20.9548	5.29361	12.5384	42.7615	11.9183	22.2363	1.24288	12.5921
3153|CBX8	1.17005	0.642044	0	0.515021	1.05029	1.16151	0.725234	0.185233	0.628494	0.174457	0.577336	2.66947	2.1402	6.23337	1.81178	6.63928	6.07612	3.29635	0.757811	2.68645	0.978774	3.25767
12988|OR13A1	0.257839	0.998298	98.5227	1.12446	0.390949	0.170889	0.342084	0.251058	0.378841	0.826414	2.60772	0.519247	0.845623	37.3326	0.566649	0.34396	0.0859447	0.539279	0	0.250152	1.2253	2.60056
15648|SLC18B1	45.2102	31.4147	0	42.7007	12.1043	8.89895	21.9795	6.20412	8.81864	10.3613	7.46895	33.2021	26.6493	0	43.2805	12.6888	12.8639	27.7784	7.64803	11.3131	10.0603	10.3896
19083|PPP1R42	0.832275	0.0300117	0	0.039665	0	0.0729974	6.59447	0	14.3377	0	0.0664658	0.133044	0.156148	0	0.185314	0	0.257246	5.8307	0.0574869	11.5862	0	0
4444|GLB1L2	6.13519	4.5816	12.8223	2.11803	9.49326	8.08368	19.6206	0.918304	9.41978	1.81974	11.3207	11.3483	6.72131	3.51078	2.48735	13.4061	10.1622	25.1056	1.40599	13.2069	2.3026	15.4114
8027|XIRP2	97.3289	6.44417	46.873	0.129182	0.813795	0.380229	1.5412	1.12812	104.965	1.23853	0.311865	54.4969	4.19351	13.6127	0.493613	0.607726	0.249339	0.520312	0.630372	72.2759	0.972173	0.179762
5408|MFAP4	128.416	62.6317	2.97876	5.76053	33.8022	2.15723	149.784	34.154	142.144	0	24.7927	205.944	114.707	0	7.24994	51.3561	2.79529	216.651	55.2175	200.254	0	33.2066
18375|C9orf129	0.281357	0.0636884	0	1.85351	0.319323	0.115842	0.856606	0.0300803	1.13851	0.205281	0.0696578	0.470005	0.0332694	27.8449	3.82339	0.655533	0.0770581	1.81198	0.0920123	1.9081	0.207543	0.0622279
8348|CD96	5.94208	37.003	0	0.309616	12.916	0.110152	3.00083	2.82023	9.4273	111.119	20.2221	6.70799	48.2447	0	0.457855	15.0628	0	2.76792	3.02741	9.6904	107.471	26.351
11230|EIF3M	4.00383	3.08315	0	2.94345	11.3397	7.08267	2.01525	1.91381	4.84631	4.83385	21.5728	5.17123	4.04026	0	3.07651	16.7169	10.8737	2.71892	3.14563	6.63146	5.85739	31.0891
6667|RBCK1	5.22084	8.55614	0	3.18434	4.81426	4.44172	4.99174	1.52249	3.4865	6.35885	1.21502	9.68845	10.0573	0	6.6814	9.90846	9.16461	8.05405	5.10699	7.93139	9.33477	3.26688
995|IL13RA1	64.399	53.4247	0	38.6678	116.732	111.032	103.288	112.072	116.902	125.25	34.0368	57.1868	52.0356	0	26.7319	116.375	104.989	94.577	96.4872	105.107	107.143	33.3568
11906|HECTD1	74.7249	61.5094	207.774	161.599	156.701	121.671	62.346	103.256	148.984	79.1294	131.308	84.4113	74.3942	78.2815	127.393	159.236	119.11	56.3655	94.421	148.466	64.597	138.097
5435|MKI67	26.8137	104.799	0	0.725437	147.456	206.713	3.99957	4.38887	16.3689	6.55113	254.36	24.5794	86.0919	0	0	221.452	246.084	3.16752	3.52129	24.3458	5.54768	306.347
4518|GPHA2	0.335325	0.367609	87.2554	0.215981	1.10967	0.0641728	2.08708	0.151901	2.06384	0.886969	0.061274	0.636432	0.617291	103.026	0.199478	1.33155	0.395752	3.10149	0	2.27964	1.32239	0
12834|C17orf59	5.68451	5.67711	113.164	4.94655	2.83547	2.01045	6.15612	1.63045	4.11243	5.37159	2.27896	7.21285	9.52568	56.6136	6.76646	4.77296	2.95753	8.69285	2.84017	5.9826	6.67288	3.12228
8267|ASAH2	5.82665	2.81729	0	12.3404	8.95916	9.70679	6.43185	7.08784	8.76812	2.70281	6.03756	5.98993	2.525	0	9.51704	8.32353	9.61259	5.0169	6.11178	6.83758	1.38412	4.68654
3212|CDC14B	11.8659	5.49747	0	82.6256	42.3865	23.5887	96.861	53.6743	56.8181	3.03131	10.3229	18.2815	10.7788	0	78.9322	45.0561	26.7589	104.803	57.1284	60.9095	3.26173	11.8982
18054|OR51D1	0.0226276	0	10.3071	0.0230578	0.0887542	0.020837	0.0757962	0.0171511	0.0291434	0.065826	0	0.0133028	0.0370962	26.7784	0.0555787	0.0318946	0.0104506	0.0347436	0.017469	0.0324961	0.0950774	0
14252|PPP1R3B	13.6313	8.61815	76.4755	4.82674	26.086	13.4689	34.9469	89.5435	34.6744	82.6178	14.3978	17.1314	9.96052	30.8544	4.62779	25.4774	14.52	34.9845	82.0061	34.3125	80.1681	14.1748
9701|MAD2L1	3.803	4.20987	0	2.95299	24.7711	23.8251	2.90023	0.312057	4.2884	2.23917	49.8616	2.77827	4.68369	0	1.44342	19.8477	17.1441	2.21001	0.39536	2.69866	1.63525	39.2037
12260|KRT78	2.651	3.64626	37.8177	0.0833989	0.457772	0.603534	1.91831	0	123.118	0.308522	0	2.17386	3.42126	38.6607	0.233755	0.407805	0.521008	1.03063	0	137.705	0.301589	0.0650313
9900|PI4KB	50.903	47.3433	0	70.4812	51.5223	44.6454	64.4376	16.2546	48.4725	55.9829	51.0195	53.4554	49.8537	0	70.5957	60.6409	53.1361	68.7743	15.0436	52.1305	56.4858	57.3986
19424|CCDC68	7.78198	5.58101	83.93	3.00236	2.36516	1.98304	3.59683	6.61508	9.93982	0.308522	0.144564	5.33584	3.18257	23.1964	1.7142	1.63122	0.955181	1.46005	5.32246	6.38753	0.301589	0.260125
8170|AKAP6	13.5772	2.12041	78.1014	117.518	1.15385	3.23347	14.687	5.01741	14.5307	1.31138	0.572266	13.8974	1.61804	67.8178	88.3998	2.63385	3.16407	9.59761	5.63981	10.2927	1.13633	0.561527
169|FAF1	95.4085	74.6815	0	181.005	226.723	165.85	214.982	59.3936	210.376	83.4308	354.857	102.098	84.0184	0	155.504	229.947	166.945	211.37	59.7383	223.134	63.835	386.595
685|CD44	1082.88	2360.48	0	832.145	5250.07	7383.31	3228.34	735.622	2332	25451.9	1766.91	872.427	2085.62	26.4023	873.799	5126.2	7995.35	2571.37	740.759	2473.45	24551.9	1740.29
13273|TENM3	1.93898	0.852863	0	4.51349	3.49594	3.21904	1.20471	1.81277	1.52888	0	0	2.43845	1.09375	0	5.26544	4.76123	5.0481	1.83458	1.94031	1.79131	0.0453007	0
15760|C14orf28	4.48527	3.34837	0	4.39316	4.43246	3.73832	5.08684	1.65345	7.30207	3.09638	2.08905	3.40765	2.79712	0	3.45562	4.73173	3.76442	4.74035	2.87105	7.99889	2.43027	2.12624
13044|MSTO1	3.95618	3.41057	0	4.88801	8.0974	7.99285	6.82248	0.641497	6.11091	1.71848	8.51386	7.57597	6.4644	3.15216	8.00226	12.6845	13.8262	10.2516	0.831943	8.11067	2.63179	10.081
10309|ATP6AP1	443.229	354.571	0	594.187	330.008	455.147	378.009	132.896	182.899	231.521	209.084	376.911	324.355	0	527.841	359.528	543.468	404.268	135.777	183.458	241.207	234.732
5653|NAT8	12.3469	15.9956	95.8164	0	1.44929	0.083678	229.809	54.5891	0.891627	0.477534	0	10.0184	14.4679	64.3644	0.482061	1.09994	0	182.713	49.5437	0.325865	0.631924	0
1369|SIT1	3.95352	55.3342	0	0.0864968	16.498	0	5.47334	1.25529	3.5611	67.518	12.8852	7.06176	79.0273	0	0.1619	28.8927	0	6.47135	2.17269	7.67132	94.7568	22.8049
1446|TLR10	1.37327	11.5193	79.661	1.62404	0.250422	0.10339	0.393162	0.314946	1.53256	9.00732	0.354294	1.22805	12.1037	11.0333	1.31658	0.314096	0.323882	0.291783	0.198281	1.41364	7.46196	0.368394
5355|MCF2L	13.1963	4.71681	0	97.1809	5.89098	6.87444	25.5358	2.88959	18.2186	1.58529	2.27046	13.7156	5.28657	0	85.9751	5.46875	7.64706	23.2608	4.82031	16.0844	0.993038	1.34423
14649|TRIM6	11.0755	10.326	16.9104	0.823567	8.5491	13.8253	65.7526	4.63678	16.4868	1.29705	12.1579	5.63653	5.28657	6.63894	1.00873	7.92573	9.36375	47.1958	2.11801	14.567	1.34769	8.64148
15026|ZC3H10	0.932116	0.895968	11.5488	1.32683	1.46902	0.910725	2.91449	0.4389	2.65096	1.03811	1.77368	3.24478	3.62504	57.4219	4.18905	3.8228	3.07726	8.53529	2.10349	5.01478	3.09206	2.97976
10974|CSNK2A2	71.5322	57.6441	0	80.5881	182.99	125.968	231.865	55.5955	205.864	74.9089	235.211	79.8162	62.8134	0	69.9981	199.615	142.573	227.438	65.4353	208.472	74.3098	256.565
11115|TRAP1	21.3496	17.2566	0	20.7031	48.7266	30.747	21.5346	13.8911	16.2918	10.5966	59.981	41.0112	30.7153	9.43312	31.3929	81.6184	51.2117	36.2855	19.3888	26.1076	14.5918	86.0025
15046|ARHGEF39	0.569021	0.828164	0	0.0146546	3.44268	3.70442	0.586869	0.0653296	0.642113	0.0475892	2.89995	1.23768	1.36688	0	0.0991582	5.20768	5.26644	0.892058	0.14458	0.865597	0.132804	3.8412
18042|IER5L	5.29367	1.58742	0	1.27399	2.17918	3.90808	0.997004	0.423397	0.636702	1.03281	0.0230072	2.36763	1.58772	0	0.985915	1.37806	2.98564	1.24318	0.39028	0.414121	0.645057	0.100603
13498|PPP2R5B	41.9763	38.7217	52.0712	175.599	28.551	30.9714	49.8677	10.6235	23.3699	37.0517	8.83382	53.549	46.1054	69.8183	164.399	32.1347	31.0538	57.1051	11.1878	22.1742	38.6823	11.9161
5816|NPY	412.055	17.913	0	100.37	3.32281	1.43575	2.68625	0	5.41175	0	6.41378	324.186	15.7381	0	86.9764	1.75024	3.1437	3.07937	0.611703	5.7843	0.18409	4.48568
10169|ANKRD24	4.70504	1.16762	0	15.338	1.57458	0.14875	7.88441	1.12588	4.02458	0.14128	0.0717374	7.01309	3.04145	0	21.3925	1.55428	0.908289	11.0043	2.47863	4.81637	0.345504	0.378396
14451|THSD7A	7.00311	2.3498	0	14.2933	0.86659	0.627946	9.19042	10.6849	8.29801	0	6.06901	5.8221	3.39896	0	13.417	1.27537	1.03627	8.35144	11.8364	7.3907	0	7.85215
3484|COL8A1	0.646703	0.406391	27.9094	0.517803	3.18274	4.19975	2.58726	1.41257	3.82107	0.043281	0	0.775475	0.78628	30.4223	0.395456	5.92147	6.58401	3.18809	2.68762	5.63	0.145726	0.0269704
14525|TMEM232	1.55734	0.326911	0	3.11556	0.218701	0.400402	8.6883	0.856057	16.7003	0.271775	0.219035	0.357934	0.149733	0	2.57898	0.236327	0.0586106	7.38446	0.604113	10.8297	0.272011	0.144989
15841|WDR81	3.27715	3.98003	0	2.51209	4.30813	2.433	4.01142	1.92543	3.15041	3.06582	3.20517	5.48652	6.90499	0	2.76569	5.50834	2.51161	5.093	2.45147	3.64705	3.30695	3.56624
15829|LSM12	42.7258	38.3862	170.277	78.8836	151.165	143.153	132.894	41.2118	97.6172	96.0477	224.865	58.5739	52.1878	9.71196	97.1369	215.703	221.946	172.763	56.1749	128.885	117.228	293.587
14886|XIRP1	7.19747	0.314114	29.0696	0.0831523	0.0729573	0.0765553	0.552026	0.516548	4.94458	0.996071	0	6.72251	0.203961	8.42239	0.31066	0.159337	0.0778502	0.169105	0.631352	5.92347	0.636234	0.129324
16941|TSNARE1	2.04073	0.782621	0	3.15188	1.78936	1.62041	4.41063	0.929064	1.94038	0.993757	4.5584	0.888146	1.75815	0	2.74654	1.94732	2.21205	4.09516	0.87179	1.92279	1.50584	4.60911
3046|C1RL	4.19078	5.72252	56.181	1.24558	3.16405	3.5999	6.17434	13.0282	3.42978	4.56037	3.27554	6.07373	8.95464	0	2.16009	5.28876	5.05933	8.634	18.3851	6.78491	5.83525	4.2587
10695|CD164L2	1.02181	0.208638	37.2738	0.175994	0.0762784	0.920458	1.08126	0.238728	0.445814	0.079589	0	1.63566	0.447461	0	0	0.846104	1.26572	0.975177	0.177258	0.977594	0.236971	0.066143
14114|C7orf25	6.24318	4.1589	0	16.4019	10.675	12.0486	10.5187	4.70715	11.6412	5.67509	9.40412	8.46328	6.19665	14.7865	15.8978	10.4003	14.0859	9.87496	4.30381	13.6964	4.26859	9.94087
11295|DCTN6	8.54852	3.62295	0	31.4378	17.3607	16.4375	12.3142	5.95011	16.3961	9.0533	32.3547	15.9451	8.58006	0	29.4507	16.1965	17.4121	12.9674	6.87627	14.5921	10.5348	30.331
19529|ISCA2	146.706	153.923	154.496	112.817	92.8596	119.71	96.0112	44.9642	93.239	92.9039	90.7529	79.8998	94.8125	112.495	73.5998	81.1393	90.3522	64.8926	30.415	69.8662	58.4705	69.7996
6748|RICTOR	18.5836	19.8185	98.7143	105.265	57.9899	60.0987	40.7955	31.5968	68.4482	95.9066	71.559	9.97791	14.1883	15.5867	80.5927	55.0901	45.4224	27.0792	23.9365	50.3244	76.3596	62.307
9070|ZMYND8	4.10513	5.54454	0	10.8968	17.0546	13.9245	6.98788	2.65269	6.79531	4.92638	20.7949	15.8912	14.4634	0	24.4413	40.3059	32.9375	15.6985	5.41446	14.0672	10.6082	43.1851
30346|FAM236B	0.125338	0.210713	31.969	1.20663	0.306305	0.123844	71.1067	0.234722	55.9015	1.51374	0	0.420239	0.432863	137.243	0.640829	1.07908	0.12267	65.6814	0.127067	49.0208	0.964567	0.0913951
19233|XAGE1B	0	0	56.2012	0	0.284252	0	0.0620711	0.14211	0.0548411	0.742784	0.169838	0	0.10396	101.841	0.184788	0.431283	0.0613957	0.259307	0	0.179923	0.114035	0.100234
12924|NYX	0	0.470853	42.0888	0.0866614	0.148112	0	0.325148	0	0.0721605	0.0767204	0.0738249	0	0.143576	0	0	0.0822447	0	0.434423	0	0	0.227433	0
17296|IFNL3	0.127746	0.0513711	2.85767	0.0335215	0.0286775	0.0615804	0.0941587	0.0247628	0.163489	0	0	0	0	19.915	0	0.0622124	0.185625	0.0670301	0.0251836	0.0914345	0.137754	0.0249504
15821|CD300LB	0.19974	0.465912	0	0	0.0443569	0	0.391378	0.22072	0.344005	14.5075	2.07734	0.116966	0.734787	0	0	0.096564	0	1.38597	0.262348	0.620996	16.1047	2.39611
16074|UBE2QL1	4.2909	0.706559	0	25.2324	0.964172	0.719041	5.77068	0.119734	0.666257	0.174705	0.0409515	7.41727	1.08136	19.2605	32.2252	1.71359	0.795665	6.89581	0.190362	1.04858	0.0390609	0
12545|THEM6	1.53157	0.947717	0	0.870677	1.32672	1.2082	0.817022	0.509147	0.401389	0.218875	0.525297	1.1796	0.935583	0	0.623945	1.21777	1.7011	1.06439	0.42645	0.335771	0.220445	0.649438
4467|GM2A	209.877	255.253	48.2694	283.09	316.886	383.115	368.97	288.859	245.88	151.822	308.318	280.897	363.513	145.669	324.37	390.081	507.103	426.816	327.409	305.761	168.314	353.378
15393|TIFA	6.15387	9.50456	27.4951	13.1046	15.0159	11.8211	6.31926	5.36961	7.54961	200.094	21.4437	3.96618	8.15053	23.8703	6.70678	11.9128	8.62948	3.74246	4.56616	5.30122	127.851	17.8644
5862|NUDT21	111.614	96.8171	0	271.512	393.629	297.923	185.683	59.1594	206.764	162.424	553.829	114.695	102.691	0	221.037	370.47	293.926	185.579	56.4923	190.037	141.238	523.589
19762|TMEM254	72.7537	37.2072	0	46.8643	53.7428	66.2137	88.0221	61.0686	85.3311	11.9459	34.5546	45.2444	27.5328	0	30.9906	47.4854	55.412	71.5543	48.7833	75.7608	10.7402	38.0947
7044|SIDT2	103.85	74.4768	1.18634	123.226	75.3585	74.5237	191.241	75.3515	146.974	55.4757	49.1278	115.914	77.0502	10.3925	102.39	75.2283	74.2358	200.522	86.2626	135.145	60.0058	52.2635
3406|CLEC18B	4.54519	0.502333	0	1.82991	0.976589	0.150971	21.7607	0.123529	3.25541	0.148852	0.349941	7.28376	1.20573	0	2.72462	1.52402	0.317559	32.7462	0.435478	4.22318	0.256069	0.472498
16865|C1orf86	11.8599	8.80956	0	3.16484	5.53718	5.88414	4.543	1.32362	3.47427	1.68179	4.11546	14.1081	12.5919	0	3.31405	6.72074	7.61289	6.44215	1.78754	3.51625	2.22547	4.10006
10649|CDKL1	2.66507	2.38837	0	7.08985	1.14865	1.15062	4.56642	1.09473	5.10993	2.03532	3.61798	3.57794	2.54904	0	5.46618	1.43875	1.89509	4.78789	0.667331	4.84373	2.66055	3.11078
3983|ADGRL4	4.08289	6.71094	0	1.97275	0	0.0406549	2.02877	2.4623	10.2648	0	0	1.3747	4.31451	0	0.974233	0	0	1.32637	1.74343	7.2972	0	0
282|MNDA	3.27742	37.4293	0	5.51946	8.64391	0.0247483	9.62737	8.56504	10.2112	94.1493	64.6773	9.79784	96.8822	0	10.4084	16.5246	0.0246387	14.457	15.0368	14.421	186.575	85.908
13998|SEZ6	15.3844	2.28182	0	43.9404	0.547328	0.256333	7.69689	0.083686	0.227305	0.247924	0.153396	19.9391	2.1525	11.8322	55.7744	1.20386	0.687558	9.88678	0	0.416919	1.14362	0.200043
1284|PSMB7	13.1611	9.58693	0	15.4015	32.7651	41.426	15.0834	10.4769	14.5375	9.06178	36.3199	15.0286	11.94	0	11.7115	24.0668	33.0125	10.4751	6.37531	10.8116	7.47441	26.7893
583|BCL2L1	558.458	1020.44	263.464	607.122	465.982	749.405	871.875	251.909	328.974	1596.56	841.732	814.656	1399	134.805	778.979	634.071	917.965	1097.3	294.098	425.87	1962.96	997.609
6858|RXRG	19.4206	13.9759	0	10.9381	3.20647	0.132469	6.82931	0.720331	6.15459	0.0582284	0	36.7598	22.1963	0	14.3282	6.35733	0.366008	9.5487	1.41491	11.5537	0	0.106993
17571|TMEM225	0.0253405	0.0601504	46.0159	0.0263064	0.0904583	0.0241182	2.9879	0	5.07028	0.151571	0	0	0	12.9068	0	0.0242653	0.0959087	1.72853	0.0385375	3.24279	0.240838	0.0198714
9046|USP8	26.6172	24.5934	0	44.5512	43.5454	47.2211	16.1821	18.4156	49.0368	30.1733	50.971	24.3726	23.5859	0	34.7598	44.3718	48.1654	16.1646	19.7215	44.9787	29.2965	52.6125
13240|ZNF446	4.65605	2.66588	28.7588	4.98841	2.9536	3.03565	6.59593	1.15738	4.37265	2.17659	1.58383	6.45718	4.48465	37.5785	7.09158	4.88991	4.12073	7.66762	1.40604	4.56553	3.60603	2.73436
8|ACTG2	779.021	29.1045	0	3.45048	3.57877	129.408	385.249	20.9824	799.428	0.311466	0.0655644	967.526	37.763	0	4.69451	4.13708	182.853	527.653	26.6691	1112.93	0.43941	0.0766609
2749|ARHGDIA	132.061	130.576	0	181.915	229.413	292.572	253.834	86.4315	178.79	482.37	335.338	245.299	235.908	0	227.739	379.673	467.085	350.351	119.49	232.483	581.513	525.608
13782|RIMBP2	25.0846	1.90658	88.9227	61.1225	1.79126	0.117586	11.1725	0.601195	4.85455	0.555884	0	24.0099	1.88412	42.6434	45.9165	1.51937	0.241752	11.6339	1.18969	3.29067	0.554432	0.0988036
19399|C11orf95	40.8077	17.0248	38.7828	22.2813	9.61478	11.4264	27.997	9.73185	17.9235	2.52686	10.3371	27.3981	11.9009	0	18.9386	9.36684	10.7721	28.6132	7.78951	17.8322	3.45593	8.2311
4168|FANCG	3.82306	4.49818	35.3456	5.37616	21.9838	19.7796	6.98091	1.61499	5.52306	2.26457	20.1733	9.94107	9.31553	24.9312	6.27789	31.5032	32.0967	9.84475	2.89995	8.4598	3.11046	24.0538
15173|NAV1	47.4265	17.4953	0	123.797	77.3411	72.2357	98.2364	19.7954	99.128	35.0105	50.2248	90.122	31.6994	0	162.961	116.503	107.141	133.294	28.8257	124.397	45.612	68.2636
1437|TGM5	0.0367509	0.0138522	10.5057	0.0365682	0.655658	0.365762	0.0339211	0.0135904	0.50671	0.11797	9.21284	0.150015	0.0437464	22.3471	0	0.973072	0.430652	0.235932	0.0278295	0.766104	0.134283	11.3427
13173|YOD1	10.3617	25.3679	72.9347	28.4558	32.4922	31.7795	22.4546	11.0813	27.5804	43.954	60.2706	13.0259	27.8148	63.6464	29.0529	40.8071	35.1658	28.2118	13.084	31.4016	41.3549	73.4197
1428|TCF7	39.1055	236.597	0	4.49783	344.973	50.6685	32.669	18.5783	28.6404	311.31	5.59894	61.4788	421.889	0	7.12358	802.89	97.3754	69.4771	37.597	61.6207	526.962	10.869
9823|ROR2	7.24301	3.41351	40.4907	0.935916	4.37704	4.62044	12.5225	1.82281	9.31675	0.25342	1.83822	10.5807	6.67796	105.848	1.32985	6.72432	7.71716	17.1287	3.21576	17.2601	0.503768	4.12213
8068|ZFP36	374.813	537.984	54.6453	138.398	168.773	169.05	540.315	284.262	935.777	1679.03	108.523	479.952	655.856	44.5042	128.119	181.103	191.468	593.075	291.857	964.091	1639.49	108.149
14246|SPRN	30.3171	1.64188	2.4608	44.8279	1.37092	0.550941	16.0204	1.13384	3.05123	0.321645	0.32768	21.0993	1.99292	99.7644	52.4967	7.20028	1.33271	12.5919	0.52172	2.34476	3.81691	0.754166
4330|GAB1	43.3593	30.1494	0	91.7454	25.2881	27.1159	55.6008	39.7151	66.7093	10.7367	16.4791	53.7349	35.786	0	77.3621	25.7586	27.8571	53.3481	38.8546	59.9371	8.58269	16.1948
3649|CYP2C8	6.85271	6.41836	173.946	9.09092	2.2722	1.23231	34.9479	3073.57	10.7211	0.764894	0.39299	10.4169	9.84906	120.6	10.5371	3.95574	2.55683	31.5632	3466.57	10.818	1.14931	0.582448
13253|KANSL3	19.9275	18.5061	190.706	20.209	30.714	26.0431	49.2863	9.89355	32.9709	21.1713	33.1283	34.197	33.6358	99.8339	33.7669	54.7654	45.8745	89.5356	19.237	59.1188	36.9518	57.5089
14999|ZNF280C	5.88784	3.09819	0	14.3895	22.7826	20.166	25.703	2.91349	30.2061	7.05973	29.1428	5.12407	3.56456	0	11.4487	23.1552	22.7851	26.0805	2.42697	28.4407	7.20762	27.5168
12584|RTCB	12.6408	8.63033	7.68502	16.9664	20.5531	27.0247	20.277	6.15978	17.882	8.82642	30.1778	22.647	18.0136	2.2142	19.2839	24.9867	32.4017	24.8175	8.97118	21.5454	12.0901	34.8297
18153|OR1K1	0.312934	0.0628228	207.62	0.74837	0.510701	0.306221	0.473165	0.387411	0.480723	0.640331	0.0734767	0.560209	0.611882	140.081	0.465989	0.796685	0.0778502	1.26829	0.280601	0.303767	1.34316	0.129324
20739|TAS2R8	0.0770923	0.0203516	0	0.557372	0.229388	0.366383	0.124625	0.0577359	0.0878209	0.153822	0.0690217	0.02997	0.0211696	24.9403	0.176959	0.147649	0.218462	0.105803	0.058542	0	0.177947	0.0201206
13021|ARHGAP17	13.4011	21.6272	0	7.69816	25.8593	17.7725	20.9263	17.1333	29.1128	24.4732	27.2039	45.6433	78.6666	0	25.2684	77.9873	51.8413	64.245	41.7801	73.3485	55.2867	73.0068
10370|BHMG1	0.0817901	0	0	0.251107	0.360578	0	7.63392	0	3.81615	0	0.572266	0	0	0	0.0794248	0.87795	0	11.2554	0	6.62243	0	0.499135
19415|CBSL	70.8256	48.6453	55.2956	83.672	79.918	73.2265	20.7686	144.16	4.41933	0.405525	102.893	56.8741	38.9632	14.0586	78.5332	92.6951	82.2385	14.9717	141.675	5.6299	0.403485	107.026
6087|PDCD2L	15.2302	13.5891	113.091	23.2499	33.5338	33.8861	26.5158	3.34759	22.1023	22.5623	46.3202	16.8432	13.3486	37.5923	17.6556	33.5077	35.9374	28.9514	4.08513	21.3527	22.6275	51.7718
12478|MAGEB5	0.074163	0	0	0	0	0.145065	0.894488	0	0.329154	0.268491	0.0690142	0	0	47.0313	0	0.0757894	0	0.0792026	0	0.0722288	0.595112	0
10842|CLEC4C	0.473406	3.93477	341.534	0.166475	0.797288	0.460291	2.7772	0.200133	2.9164	4.74895	0.0746895	0.0943242	4.16395	67.097	0.312495	0.957645	0.156876	2.6415	0.43703	2.84751	4.63773	0.526056
17640|TCEAL5	30.1934	4.48934	150.091	131.765	0.240457	0.782288	38.6487	0.576067	31.0001	0.354776	0.0988662	28.158	4.99948	39.5273	118.545	0.467786	0.419515	40.9605	0.275555	34.4691	1.16254	0.229885
13562|PRR25	0.493898	0.0686518	0	0.0821427	0.0720057	0.243341	0	0	0	0.151246	0.207155	0.192742	0.146641	0	0.229612	0.314039	0.0814103	0	0	0	0	0.124013
12888|NRN1L	5.21649	5.95308	0	6.33832	2.21257	1.12085	2.95739	1.67582	1.80724	2.23678	0.65054	5.73109	5.41036	39.1314	6.93473	2.85463	2.86554	2.14714	0.788513	2.48865	1.58334	1.75585
2926|BGLAP	56.3977	160.228	62.4483	35.7195	22.5361	13.4667	14.2858	9.85332	14.3091	3.01214	4.87746	49.1695	181.286	46.7187	34.9139	26.0739	17.0507	17.4269	7.52594	15.9843	5.51621	7.24374
12000|CCDC9	8.11382	6.31686	27.6102	4.30363	5.0321	5.29385	8.83467	2.12042	6.06292	6.36107	4.81611	13.4311	14.3558	22.76	9.70697	12.861	15.4342	22.1258	5.14062	14.8909	15.8703	12.6401
12095|KANSL2	23.5852	24.4771	0	35.6482	55.534	48.9798	52.2111	17.3721	36.2862	27.9401	55.6326	28.5283	25.1801	0	29.031	45.1961	43.7623	41.5041	18.1915	35.4908	26.1979	46.9883
11298|ESRP2	9.36813	7.84377	0	0.172994	12.0412	33.7505	17.5318	29.8759	17.4267	0.413207	0	20.7699	12.4537	0	0.323799	28.2048	79.6708	24.3574	49.8775	28.3505	0.0816869	0
18568|RHOXF2B	0.293205	0.116881	87.3415	0.369907	64.1919	0.112464	17.6271	0.292327	14.1864	0.451153	68.4408	0.17106	0.0971332	28.0161	0.262938	69.2272	0.424962	18.5249	0.0913973	16.6066	0.475844	71.9288
